Periodo,titulo,cantidad,Comuna,Categoria,lat,lng,tipo
2018,Restaurar la Pista de Atletismo del parque Avellaneda,817,Comuna 9,Deportes y calidad de vida,-34.6454,-58.4773,Votos
2018,"Aumentar seguridad en caballito

",679,Comuna 6,Seguridad,-34.6194,-58.442,Votos
2018,Video vigilancia en Caballito Acoyte y Rivadavia ,613,Comuna 6,Seguridad,-34.6184,-58.4364,Votos
2018,Video vigilancia para Belgrano,606,Comuna 13,Seguridad,-34.5607,-58.4566,Votos
2018,Luminarias y seguridad en zona bosques de palermo,590,Comuna 14,Seguridad,-34.5722,-58.4071,Votos
2017,Circuito en Parque Avellaneda con luminarias bebederso y postas.,1024,Comuna 9,Plazas y parques,-34.6433,-58.48,Votos
2017,Uso de paneles solares en Barrancas de Belgrano,852,Comuna 13,Plazas y parques,-34.5608,-58.4486,Votos
2017,Paradas de colectivos en lineas de la comuna 13,651,Comuna 13,Movilidad y transito,-34.5486,-58.4626,Votos
2017,Pista de ciclismo en el Parque Sarmiento,615,Comuna 12,Plazas y parques,-34.5572,-58.4994,Votos
2017,Señalización electrónica Paradas de Colectivos en lineas de la comuna 14,610,Comuna 14,Movilidad y transito,-34.5899,-58.4245,Votos
2019,Corredor Aerobico Parque Centenario,275,Comuna 6,Deportes y calidad de vida,-34.6057,-58.4358,Votos
2019,Puntos de hidratacion en Parque Centenario,275,Comuna 6,Innovacion,-34.606,-58.4346,Votos
2019,Corredor Aeróbico Parque Chacabuco,232,Comuna 7,Deportes y calidad de vida,-34.6342,-58.4425,Votos
2019,Maquinas para el Corredor Aeróbico Parque Chacabuco,232,Comuna 7,Plazas y parques,-34.6359,-58.4453,Votos
2019,clases gratuitas de distintas actividades)en el parque Chacabuco,232,Comuna 7,Innovacion,-34.6353,-58.4402,Votos
2018,Restarurar la Pista de atletismo del Parque Avellaneda,1233,Comuna 9,Deportes y calidad de vida,-34.6459,-58.4801,Apoyos
2018,Construir una parada para el Tramway Histórico de Buenos Aires cerca de la calle Emilio Mitre esquina José Bonifacio,360,Comuna 6,Cultura,-34.6284,-58.4428,Apoyos
2018,Semaforo en Av Bilbao y Pergamino,308,Comuna 9,Movilidad y transito,-34.642,-58.4703,Apoyos
2018,"Seguridad, colocación semáforo y reja protectora en Esc. 16 D.E 8 Dr.Ramos Mejia",141,Comuna 5,Movilidad y transito,-34.6139,-58.4245,Apoyos
2018,Camaras de Seguridad en barrios de Belgrano,120,Comuna 13,Seguridad,-34.5611,-58.4574,Apoyos
2017,Subtes nocturnos hasta las 12 am,2291,Comuna 12,Movilidad y transito,-34.5738,-58.4872,Apoyos
2017,Circuito Aeróbico Parque Avellaneda,1620,Comuna 9,Plazas y parques,-34.6468,-58.4779,Apoyos
2017,Dispensador de alimento para perros/gatos en situación de calle en comuna 9,1522,Comuna 9,Mascotas,-34.6577,-58.5008,Apoyos
2017,Estación de SUBTE Aeroparque,1419,Comuna 2,Movilidad y transito,-34.5611,-58.4198,Apoyos
2017,"Incorporar Aire Acondicionado, particularmente en la linea D",1018,Comuna 14,Movilidad y transito,-34.5815,-58.4211,Apoyos
2019,"Cancha de fútbol sintética, sobre Av. Lacarra, en el polideportivo",191,Comuna 9,Plazas y parques,-34.6466,-58.4744,Apoyos
2019,"Rstaurar la cancha de futbol 9 , dentro del Polideportivo Parque Avellaneda",180,Comuna 9,Deportes y calidad de vida,-34.645,-58.4761,Apoyos
2019,Circuito Ciclismo en Parque Avellaneda,177,Comuna 9,Deportes y calidad de vida,-34.6446,-58.4794,Apoyos
2019,Parque para mascotas. Canil en plaza Uriburu (espacio verde detrás del Hospital Churruca),157,Comuna 4,Mascotas,-34.6409,-58.4105,Apoyos
2019,Corredor Aerobico Parque Centenario,141,Comuna 6,Deportes y calidad de vida,-34.6075,-58.4366,Apoyos